subject,title,location,alternate_title,description,internal_notes,pre,format,access_restrictions,eres_display,record_status,Exceed
"	Allergy	","	Allergy Essentials, 5th ed.,	 Elsevier,	2022","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20180056066	",,,,,4,1,N,Active,
"	Allergy	","	Allergy and Immunology, 	 eMedicine, 2002","	http://www.emedicine.com/med/ALLERGY_AND_IMMUNOLOGY.htm	",,,,,4,1,N,Active,
"	Allergy	","	Allergy and the Nervous System,	 Karger, 2012","	http://site.ebrary.com/lib/univmiami/docDetail.action?docID=10589882	",,,,,4,1,N,Active,
"	Allergy	","	Asthma and Indoor Air Exposures, 	 Institute of Medicine, 2000","	http://www.nap.edu/books/0309064961/html/	",,,,,4,1,N,Active,
"	Allergy	","	Asthma Management Handbook: National Asthma Council Australia,  	 , 2002","	http://www.nationalasthma.org.au/handbook	",,,,,4,1,N,Active,
"	Allergy	","	Chemokines in Allergic Disease,  	 Marcel Dekker, 2000","	http://ibisweb.miami.edu/search/Ychemokines+in+allergic+disease&searchscope=11&SORT=D/Ychemokines+in+allergic+disease&searchscope=11&SORT=D&extended=0/1%2C1%2C1%2CB/l856&FF=Ychemokines+in+allergic+disease&1%2C0%2C%2C1%2C0	",,,,,4,1,N,Active,
"	Allergy	","	Clinical Guide to Gluten-Related Disorders,  Wolters Kluwer / Lippincott Williams & Wilkins, 2014",  http://site.ebrary.com/lib/univmiami/docDetail.action?docID=10838646  ,,,,,4,1,N,Active,
"	Allergy	","	Combination Therapy for Asthma and Chronic Obstructive Pulmonary Disease,  	 Marcel Dekker, 2000","	http://ibisweb.miami.edu/search/Ycombination+therapy+for+asthma&searchscope=11&SORT=D/Ycombination+therapy+for+asthma&searchscope=11&SORT=D&extended=0/1%2C1%2C1%2CB/l856&FF=Ycombination+therapy+for+asthma&1%2C0%2C%2C1%2C0	",,,,,4,1,N,Active,
"	Allergy	","	Diagnostic Testing of Allergic Disease,  	 Marcel Dekker, 2000","	http://ibisweb.miami.edu/search/crc586+internet/crc++586+internet/1%2C1%2C1%2CE/l856&FF=crc++586+internet&1%2C0%2C%2C1%2C0	",,,,,4,1,N,Active,
"	Allergy	","	Food Allergy,	 Elsevier,	2011","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20090424735	",,,,,4,1,N,Active,
"	Allergy	","	Middleton's Allergy: Principles and Practice, 9th ed.,	 Elsevier,	2020","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20161002419	",,,,,4,1,N,Active,
"	Allergy	","	New and Exploratory Therapeutic Agents for Asthma,  	 Marcel Dekker, 2000","	http://ibisweb.miami.edu/search/crc588.c45%2B/crc++588+c45/1%2C1%2C1%2CE/l856&FF=crc++588+c45&1%2C0%2C%2C1%2C0	",,,,,4,1,N,Active,
"	Allergy	","	Pediatric Allergy: Principles and Practice, 3rd ed.,	 Elsevier,	2016", https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20130183663 ,,,,,4,1,N,Active,
"	Anatomy ","	Angiogenesis,	 Morgan & Claypool Life Sciences, 2010","	https://www.ncbi.nlm.nih.gov/books/NBK53242	",,,,,4,1,N,Active,
"	Anatomy ","	Atlas of Clinical Gross Anatomy,	 Elsevier,	2012","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20110698266	",,,,,4,1,N,Active,
"	Anatomy ","	Atlas on the Comparative Anatomy of the Retinae of Vertebrates,  	 Bentham Science, 2012","	http://site.ebrary.com/lib/univmiami/docDetail.action?docID=10607412	",,,,,4,1,N,Active,
"	Anatomy ","	Atlas of Human Anatomy, 7th ed.,	 Elsevier,	2019","	https://www.clinicalkey.com/dura/browse/bookChapter/3-s2.0-C20140050319	",,,,,4,1,N,Active,
"	Anatomy ","	Atlas of Human Anatomy, 5th ed., 	 Elsevier, 2011","	http://www.R2Library.com/marc_frame.aspx?ResourceID=2935	",,,,,4,1,N,Active,
