COURSE_CODE	COURSE_TITLE	SECTION_ID	ACAD_DEPT	PROC_DEPT	TERM1	TERM2	TERM3	TERM4	START_DATE	END_DATE	NUM_OF_PARTICIPANTS	WEEKLY_HOURS	YEAR	SEARCH_ID1	SEARCH_ID2	SEARCH_ID3	INSTR1	INSTR2	INSTR3	INSTR4	INSTR5	INSTR6	INSTR7	INSTR8	INTSR9	INSTR10	ALL_INSTRUCTORS	OPERATION	OLD_COURSE_CODE	OLD_COURSE_SECTION
20238-LAW105-A-FALL2023	20238 - LAW105-A - SHELL- Federal Income Tax I (Fall 2023)	20238-LAW105-A-FALL2023		UOML					01/01/2000	01/01/2100																	c23942839,c00522461			
AAP-LAW551	Topics on Multistate Bar Exam (Shell)	AAP-LAW551		UOML					01/01/2000	01/01/2100																	c12028585,c23833063,c00540100			
AAS150-Y-01035-5W2-20235	20235 - AAS150-Y & Y1 - MERGED Introduction to Africana Studies (Summer B 2023)	AAS150-Y-01035-5W2-20235		UOML					01/01/2000	01/01/2100																	c12198919,dcieonline.coursemaster			
AAS150-Y1-01086-5W2-20235	20235 - AAS150-Y1 - Introduction to Africana Studies (Summer 2023)	AAS150-Y1-01086-5W2-20235		UOML					01/01/2000	01/01/2100																	c12198919,dcieonline.coursemaster			
AAS290-P-17226-1-20238	20238 - AAS290-P - Special Topics (Fall 2023)	AAS290-P-17226-1-20238		UOML					01/01/2000	01/01/2100																	c00359013			
AAS290-S-14238-1-20238	20238 - AAS290-S - Special Topics (Fall 2023)	AAS290-S-14238-1-20238		UOML					01/01/2000	01/01/2100																	c05565774			
AAS390-K-14662-1-20238	20238 - AAS390-K - Special Topics (Fall 2023)	AAS390-K-14662-1-20238		UOML					01/01/2000	01/01/2100																	c23919694			
AAS390-L-16952-1-20238	20238 - AAS390-L - Special Topics (Fall 2023)	AAS390-L-16952-1-20238		UOML					01/01/2000	01/01/2100																	c23919694			
AAS390-N-14974-1-20238	20238 - AAS390-N - Special Topics (Fall 2023)	AAS390-N-14974-1-20238		UOML					01/01/2000	01/01/2100																	c05565774			
AAS390-O-16929-1-20238	20238 - AAS390-O - Special Topics (Fall 2023)	AAS390-O-16929-1-20238		UOML					01/01/2000	01/01/2100																	c05031159			
AAS390-P-14239-1-20238	20238 - AAS390-P - Special Topics (Fall 2023)	AAS390-P-14239-1-20238		UOML					01/01/2000	01/01/2100																	c10577377			
AAS490-P-14659-1-20238	20238 - AAS490/ENG487-P - MERGED - Modern African American Literature (Fall 2023)	AAS490-P-14659-1-20238		UOML					01/01/2000	01/01/2100																	c23835044			
AAS490-R-14636-1-20238	20238 - AAS490-R - Senior Seminar in Africana Studies (Fall 2023)	AAS490-R-14636-1-20238		UOML					01/01/2000	01/01/2100																	c05565774			
AAS590-1J-14240-1-20238	20238 - AAS590-1J - Advanced Topics in Africana Studies (Fall 2023)	AAS590-1J-14240-1-20238		UOML					01/01/2000	01/01/2100																	c24004620,c05565774			
ABystrik-2017Sum-MTH311	20175B - MTH311-Q - Introduction to Ordinary Differential Equations (Summer B 2017)	ABystrik-2017Sum-MTH311		UOML					01/01/2000	01/01/2100																	c00461733			
ACC211-1K-03458-1-20238	20238 - ACC211-1K - Principles of Financial Accounting (Fall 2023)	ACC211-1K-03458-1-20238		UOML					01/01/2000	01/01/2100																	c00677794			
ACC211-A1-03431-1-20238	20238 - ACC211-A1 - Principles of Financial Accounting (Fall 2023)	ACC211-A1-03431-1-20238		UOML					01/01/2000	01/01/2100																	c00541847			
ACC211-A2-03432-1-20238	20238 - ACC211-A2 - Principles of Financial Accounting (Fall 2023)	ACC211-A2-03432-1-20238		UOML					01/01/2000	01/01/2100																	c23888464			
ACC211-A24-01540-5W1-20235	20235 - ACC211-A24 - Principles of Financial Accounting (Summer 2023)	ACC211-A24-01540-5W1-20235		UOML					01/01/2000	01/01/2100																	c00541847			
ACC211-B1-03433-1-20238	20238 - ACC211-B1 - Principles of Financial Accounting (Fall 2023)	ACC211-B1-03433-1-20238		UOML					01/01/2000	01/01/2100																	c00541847			
ACC211-B2-03439-1-20238	20238 - ACC211-B2 - Principles of Financial Accounting (Fall 2023)	ACC211-B2-03439-1-20238		UOML					01/01/2000	01/01/2100																	c23888464			
ACC211-C-03440-1-20238	20238 - ACC211-C - Principles of Financial Accounting (Fall 2023)	ACC211-C-03440-1-20238		UOML					01/01/2000	01/01/2100																	c23888464			
